symbol,timestamp,close,future_close,forward_return,true_label,pred_signal,hybrid_score,technical_score,sentiment_score,volatility_index,confidence,reason
BTCUSDT,2025-10-04T08:00:00+00:00,122267.57,124595.99,0.019043643379843062,HOLD,HOLD,0.0763,0.2544,0.0,0.0,0.0763,Neutral sentiment and technical indicators showing balanced market conditions
BTCUSDT,2025-10-04T09:00:00+00:00,122208.78,123020.5,0.006642075962136282,HOLD,HOLD,0.1096,0.3655,0.0,0.0,0.1096,Mixed signals with sentiment and technical indicators showing conflicting trends
BTCUSDT,2025-10-04T10:00:00+00:00,122129.53,123028.01,0.007356779314552311,HOLD,HOLD,0.0898,0.2994,0.0,0.0,0.0898,Neutral sentiment and technical indicators showing balanced market conditions
BTCUSDT,2025-10-04T11:00:00+00:00,121973.26,123464.64,0.012227106170647605,HOLD,HOLD,0.0922,0.3072,0.0,0.0,0.0922,Neutral sentiment and technical indicators showing balanced market conditions
BTCUSDT,2025-10-04T12:00:00+00:00,122005.62,123085.88,0.008854182290947001,HOLD,HOLD,0.1244,0.4147,0.0,0.0,0.1244,Mixed signals with sentiment and technical indicators showing conflicting trends
BTCUSDT,2025-10-04T13:00:00+00:00,122385.42,123161.39,0.006340379434086194,HOLD,HOLD,0.0013,0.0045,0.0,0.0,0.0013,Neutral sentiment and technical indicators showing balanced market conditions
BTCUSDT,2025-10-04T14:00:00+00:00,122000.01,123034.67,0.00848081897698208,HOLD,HOLD,0.0466,0.1553,0.0,0.0,0.0466,Neutral sentiment and technical indicators showing balanced market conditions
BTCUSDT,2025-10-04T15:00:00+00:00,121791.31,122803.17,0.008308146123069049,HOLD,HOLD,0.0424,0.1413,0.0,0.0,0.0424,Neutral sentiment and technical indicators showing balanced market conditions
BTCUSDT,2025-10-04T16:00:00+00:00,121719.99,123265.54,0.012697585663620153,HOLD,HOLD,0.052,0.1733,0.0,0.0,0.052,Neutral sentiment and technical indicators showing balanced market conditions
BTCUSDT,2025-10-04T17:00:00+00:00,121747.37,123057.05,0.010757357633269677,HOLD,HOLD,0.1263,0.4211,0.0,0.0,0.1263,Mixed signals with sentiment and technical indicators showing conflicting trends
BTCUSDT,2025-10-04T18:00:00+00:00,121574.66,122999.44,0.011719382970102476,HOLD,HOLD,0.18,0.6,0.0,0.0,0.18,Mixed signals with sentiment and technical indicators showing conflicting trends
